"time";"USO"
"2009-7-17";0.0759962928637628
"2009-7-24";0.042779213321849
"2009-7-31";0.0440528634361234
"2009-8-7";-0.00553797468354433
"2009-8-17";-0.0225404402015381
"2009-8-24";0.0084102007596311
"2009-8-31";-0.0511164917944579
"2009-9-8";0.0473490218315848
"2009-9-15";0.013264753654575
"2009-9-22";-0.061448036334491
"2009-9-29";0.0301736407628806
"2009-10-6";-0.00635534678087861
"2009-10-13";0.0736929922135706
"2009-10-20";0.0704480704480704
"2009-10-27";-0.0452455843213162
"2009-11-3";0.0387734414597061
"2009-11-10";-0.0107343254452307
"2009-11-17";0.00295930949445141
"2009-11-24";-0.0287681337595279
"2009-12-2";-0.0248101265822784
"2009-12-9";-0.0724299065420562
"2009-12-16";0.0176322418136021
"2009-12-23";0.0506050605060507
